# Triangle Configuration is k x [1 0 0], [-0.5       -0.8660254 -0.       ]
# k	 Btree	 Btreenw	 BZel	 BZelnw	 Bloop	 Bloopnw\ Bdamped
1.000000000000000021e-02 3.732799862396328449e+08 3.733891121110999584e+08 3.714892616349537969e+08 3.715981292144498825e+08 3.714650089560398459e+08 3.715739354616686702e+08 3.732803673016706109e+08
1.250000000000000069e-02 4.308389864341472387e+08 4.306476610836536288e+08 4.276521618680878282e+08 4.274621297012093663e+08 4.276225068930662870e+08 4.274330954520094395e+08 4.308379433649969697e+08
1.500000000000000118e-02 4.582170253756746054e+08 4.562604082067703605e+08 4.534276131590103507e+08 4.514917830200474262e+08 4.533900351316413879e+08 4.514558999208530188e+08 4.582016686007928252e+08
1.750000000000000167e-02 4.600620976022000313e+08 4.542869810089486241e+08 4.536798930737447739e+08 4.479907143792245984e+08 4.536263448090071082e+08 4.479398409247944951e+08 4.600003633320792317e+08
2.000000000000000389e-02 4.425680371512277722e+08 4.319955908392610550e+08 4.347779005845479369e+08 4.244118237735680938e+08 4.347084413110170960e+08 4.243454527282658219e+08 4.424202487262727022e+08
2.250000000000000264e-02 4.120269646404964924e+08 3.980031003222157359e+08 4.031674208706293702e+08 3.894868462705664635e+08 4.030760232102520466e+08 3.893985378415893912e+08 4.117786914762933254e+08
2.500000000000000139e-02 3.742348991509705782e+08 3.597842642039473653e+08 3.647203365954453349e+08 3.506978561951312423e+08 3.645984819568964243e+08 3.505778752933436632e+08 3.739193625752854347e+08
2.750000000000000361e-02 3.336940523275637627e+08 3.222275124541397691e+08 3.239160556466306448e+08 3.128419812639123797e+08 3.237718170638909936e+08 3.126991897242273688e+08 3.333921223786469102e+08
3.000000000000000583e-02 2.939198585972852111e+08 2.877349905274795294e+08 2.842170660496729612e+08 2.782528579462927580e+08 2.840626862715553045e+08 2.780975762473733425e+08 2.937271749851465821e+08
3.250000000000000805e-02 2.571647794255614281e+08 2.570703742807574868e+08 2.477900447490834594e+08 2.476360954449065924e+08 2.476229365527918935e+08 2.474622108084740639e+08 2.571613544306769371e+08
3.500000000000000333e-02 2.244285668435670137e+08 2.301687404657891989e+08 2.155989620590880513e+08 2.209297201188986301e+08 2.154339400781261623e+08 2.207494502164316475e+08 2.246679054088103771e+08
3.750000000000000555e-02 1.963158358614500761e+08 2.066442434789585471e+08 1.880521387021927834e+08 1.976258685996049047e+08 1.878998959979373515e+08 1.974461742625628710e+08 1.968055967181726396e+08
4.000000000000000777e-02 1.728078260921424627e+08 1.860404403116935492e+08 1.651253076045737267e+08 1.773183591240827143e+08 1.649862737983139157e+08 1.771396507769711912e+08 1.735155861816241741e+08
4.250000000000000999e-02 1.534618522851296067e+08 1.679310364876048863e+08 1.462533794967436492e+08 1.594998965162558854e+08 1.461351681893693507e+08 1.593306309923735261e+08 1.543291166040953994e+08
4.500000000000000527e-02 1.377122516022943258e+08 1.519496672178923190e+08 1.309391185204599947e+08 1.438888090255882442e+08 1.308353415255149901e+08 1.437284050056115091e+08 1.386636405600535274e+08
4.750000000000000749e-02 1.249997816087986231e+08 1.377910243934660554e+08 1.185355641067836583e+08 1.301055403613704741e+08 1.184488153663028181e+08 1.299627486856333762e+08 1.259487402929703295e+08
5.000000000000000971e-02 1.147896326722158492e+08 1.252026686943244934e+08 1.085004554685901254e+08 1.178893172648770809e+08 1.084269766930892766e+08 1.177683760164988786e+08 1.156443049988150597e+08
5.250000000000001193e-02 1.065115413218635023e+08 1.139752935636046976e+08 1.003689950220609456e+08 1.071152201383198202e+08 1.003034604988236278e+08 1.070206162157006115e+08 1.071870585252051651e+08
5.500000000000001416e-02 9.969042572416901588e+07 1.039340795191531777e+08 9.350351685695478320e+07 9.742290882660946250e+07 9.343749480391210318e+07 9.735558364365126193e+07 1.001125660830937922e+08
5.750000000000000944e-02 9.389350486044478416e+07 9.493173040182185173e+07 8.772742904126301408e+07 8.888726730092221498e+07 8.766630990327784419e+07 8.886064691801348329e+07 9.400662702865874767e+07
6.000000000000001166e-02 8.876203918623322248e+07 8.684306965877094865e+07 8.252592290091326833e+07 8.119024916120223701e+07 8.245858649855652452e+07 8.119896955792210996e+07 8.853387033510555327e+07
6.250000000000001388e-02 8.399926879329368472e+07 7.956089101458096504e+07 7.771675642739868164e+07 7.429962055128814280e+07 7.764629361788254976e+07 7.434985007970237732e+07 8.342565708699238300e+07
6.500000000000000222e-02 7.937710709710966051e+07 7.299276211983604729e+07 7.310824790106113255e+07 6.812265202093467116e+07 7.304029928532515466e+07 6.821871192345662415e+07 7.848404053352089226e+07
6.750000000000000444e-02 7.473954120241667330e+07 6.705853668224348128e+07 6.853364934009061754e+07 6.253292199752440304e+07 6.847198217100435495e+07 6.267208115026375651e+07 7.358168317347787321e+07
7.000000000000000666e-02 6.999969179764570296e+07 6.168839134272831678e+07 6.396894027484952658e+07 5.750617600025368482e+07 6.392738974190708995e+07 5.769231311518379301e+07 6.865556812498646975e+07
7.250000000000000888e-02 6.513455976588516682e+07 5.682125371922758222e+07 5.945329150324504077e+07 5.303083456090367585e+07 5.946110428338684887e+07 5.327963154212103784e+07 6.369857487646253407e+07
7.500000000000001110e-02 6.017589691449300945e+07 5.240352567136393487e+07 5.487026364394752681e+07 4.889634010365998000e+07 5.492783450380516797e+07 4.918776016702282429e+07 5.874811485691899061e+07
7.750000000000001332e-02 5.519499394459448755e+07 4.838803282810132205e+07 5.045579777510904521e+07 4.524798740374419093e+07 5.060117691186337918e+07 4.560356022089879215e+07 5.387060892045503855e+07
8.000000000000000167e-02 5.028658456799864024e+07 4.473315043792553991e+07 4.612388734294769913e+07 4.187042678075081110e+07 4.636016218489411473e+07 4.227389340219697356e+07 4.914652669980252534e+07
8.250000000000000389e-02 4.555196828410916775e+07 4.140206889295586199e+07 4.200725501498772204e+07 3.879221863496822119e+07 4.235321211303150654e+07 3.924673407117853314e+07 4.465614458140586317e+07
8.500000000000000611e-02 4.108461626040719450e+07 3.836217159969985485e+07 3.824264851805118471e+07 3.606471817576211691e+07 3.871976178943052888e+07 3.658308487639050931e+07 4.046849043364955485e+07
8.750000000000000833e-02 3.696041139473939687e+07 3.558450446847052872e+07 3.477734992819481343e+07 3.355346579282668978e+07 3.538653266925670952e+07 3.413038714600193501e+07 3.663476930407407135e+07
9.000000000000001055e-02 3.323178532418743894e+07 3.304332101254042611e+07 3.163862021903853118e+07 3.123397331232171133e+07 3.237353922111328691e+07 3.186182973605281487e+07 3.318523117548748851e+07
9.250000000000001277e-02 2.992597546030707657e+07 3.071569047891340777e+07 2.887930734689672664e+07 2.913418532458755001e+07 2.974025027796237171e+07 2.981831378629590943e+07 3.012927384535830468e+07
9.500000000000001499e-02 2.704710825752700865e+07 2.858115898011522368e+07 2.645339596915069595e+07 2.719855464325596765e+07 2.742708340045956150e+07 2.793490742962685227e+07 2.745825790609300137e+07
9.750000000000001721e-02 2.458049110751678050e+07 2.662145550187624991e+07 2.437623857670123875e+07 2.544528149968346581e+07 2.545087913204803690e+07 2.623658360370660946e+07 2.514965158950513601e+07
1.000000000000000194e-01 2.249723918086372316e+07 2.482023613448721543e+07 2.260036939246854559e+07 2.384344532434277982e+07 2.376404980662662536e+07 2.469252521049803123e+07 2.317110119660824537e+07
