# Triangle Configuration is k x [-0.025  0.     1.   ], [0.05 0.   0.  ]
# k	 Btree	 Btreenw	 BZel	 BZelnw	 Bloop	 Bloopnw\ Bdamped
1.000000000000000021e-02 4.521389571965711564e+07 4.709160451386805624e+07 4.505393064329753816e+07 4.692537899931320548e+07 4.506586276597306877e+07 4.693741544296808541e+07 4.521391521624758840e+07
1.250000000000000069e-02 5.983596119522015005e+07 6.210016866512989253e+07 5.959661991473869979e+07 6.185236560564722866e+07 5.953494884625412524e+07 6.178773394029600918e+07 5.983590600276984274e+07
1.500000000000000118e-02 7.316797334438736737e+07 7.559428751235094666e+07 7.262636547969493270e+07 7.503394846640259027e+07 7.264766226026563346e+07 7.505672857868111134e+07 7.316678744080191851e+07
1.750000000000000167e-02 8.467197318469405174e+07 8.692357137112075090e+07 8.386569206148043275e+07 8.609576568210273981e+07 8.386902021836894751e+07 8.609965592354696989e+07 8.466635134906308353e+07
2.000000000000000389e-02 9.408019958769708872e+07 9.584318836645618081e+07 9.297598302591247857e+07 9.472045738240014017e+07 9.294096612114937603e+07 9.468417769702187181e+07 9.406456343659307063e+07
2.250000000000000264e-02 1.013021246236189306e+08 1.024359162782621384e+08 9.979614231993363798e+07 1.009167796302551776e+08 9.978787668619425595e+07 1.009084415430610329e+08 1.012716893299408853e+08
2.500000000000000139e-02 1.064255125434546471e+08 1.070640922762803137e+08 1.045284390058590174e+08 1.051619145574775636e+08 1.045146650794764161e+08 1.051479429779973626e+08 1.063807577989278883e+08
2.750000000000000361e-02 1.096837964526092112e+08 1.102683816392348558e+08 1.074113095940006226e+08 1.079916409736759067e+08 1.073712724439139068e+08 1.079505516522053480e+08 1.096343453271264434e+08
3.000000000000000583e-02 1.114299727222647965e+08 1.124830796847496778e+08 1.087594316006117612e+08 1.097917092949635834e+08 1.087232463743359745e+08 1.097545437073607296e+08 1.113937097246014178e+08
3.250000000000000805e-02 1.120482650047949255e+08 1.140044931685163677e+08 1.090044340476208627e+08 1.109021836787735224e+08 1.089623015470235050e+08 1.108586763053592891e+08 1.120478970540734380e+08
3.500000000000000333e-02 1.118631879226469100e+08 1.150179174562538862e+08 1.084799610535479188e+08 1.115161539682522565e+08 1.084171735868915617e+08 1.114505800564137399e+08 1.119233155013653040e+08
3.750000000000000555e-02 1.112405717194156498e+08 1.156363818295845836e+08 1.075185437938019782e+08 1.117187288418281078e+08 1.074500462167559564e+08 1.116458093971030563e+08 1.113798281779657751e+08
4.000000000000000777e-02 1.104778954751102179e+08 1.159310575758112520e+08 1.064269804691221416e+08 1.116010988672723323e+08 1.063500189028381705e+08 1.115179869865829498e+08 1.107045251876402199e+08
4.250000000000000999e-02 1.097753539661068320e+08 1.159503401494078189e+08 1.054005971614467204e+08 1.112207636636863351e+08 1.053080608995253295e+08 1.111185954100277126e+08 1.100856966376216114e+08
4.500000000000000527e-02 1.092690576007884890e+08 1.157304644385121316e+08 1.045559761808664501e+08 1.106050728235151321e+08 1.044492391781167090e+08 1.104864116841352135e+08 1.096463248780036718e+08
4.750000000000000749e-02 1.090506364546330422e+08 1.153009778044730276e+08 1.039710181994195431e+08 1.097845431607380658e+08 1.038539037950645238e+08 1.096539162627028227e+08 1.094640428324963003e+08
5.000000000000000971e-02 1.091640498863676637e+08 1.146874147238109708e+08 1.036902710263175666e+08 1.087983738290358633e+08 1.035549534259741455e+08 1.086488713245133460e+08 1.095696259255286306e+08
5.250000000000001193e-02 1.095694970830237865e+08 1.139125542797490209e+08 1.036664549121459126e+08 1.076668505842812061e+08 1.035073934528635591e+08 1.074959662953501791e+08 1.099159616481187344e+08
